INFO:root:__init__
INFO:root:setup
INFO:root:start
INFO:root:connected
INFO:root:subscribed to topic=usuario/actuator_pwm
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.0}
INFO:root:send message: {"temperature": 24.081798092862147}
INFO:root:send message: {"temperature": 24.163476847646702}
INFO:root:send message: {"temperature": 24.245036438460144}
INFO:root:send message: {"temperature": 24.32647703915492}
INFO:root:send message: {"temperature": 24.407798823329845}
INFO:root:send message: {"temperature": 24.489001964330466}
INFO:root:send message: {"temperature": 24.570086635249435}
INFO:root:send message: {"temperature": 24.65105300892686}
INFO:root:send message: {"temperature": 24.731901257950692}
INFO:root:send message: {"temperature": 24.812631554657102}
INFO:root:send message: {"temperature": 24.89324407113081}
INFO:root:send message: {"temperature": 24.973738979205482}
INFO:root:send message: {"temperature": 25.054116450464107}
INFO:root:send message: {"temperature": 25.134376656239322}
INFO:root:send message: {"temperature": 25.214519767613822}
INFO:root:send message: {"temperature": 25.294545955420688}
INFO:root:send message: {"temperature": 25.374455390243778}
INFO:root:send message: {"temperature": 25.45424824241806}
INFO:root:send message: {"temperature": 25.533924682030023}
INFO:root:send message: {"temperature": 25.61348487891799}
INFO:root:send message: {"temperature": 25.692929002672503}
INFO:root:send message: {"temperature": 25.772257222636693}
INFO:root:send message: {"temperature": 25.85146970790662}
INFO:root:send message: {"temperature": 25.930566627331647}
INFO:root:send message: {"temperature": 25.930566627331647}
INFO:root:send message: {"temperature": 26.026906884949554}
INFO:root:send message: {"temperature": 26.123110436485934}
INFO:root:send message: {"temperature": 26.21917747592565}
INFO:root:send message: {"temperature": 26.315108196978333}
INFO:root:send message: {"temperature": 26.410902793078705}
INFO:root:send message: {"temperature": 26.506561457387033}
INFO:root:send message: {"temperature": 26.60208438278947}
INFO:root:send message: {"temperature": 26.697471761898484}
INFO:root:send message: {"temperature": 26.792723787053212}
INFO:root:send message: {"temperature": 26.887840650319873}
INFO:root:send message: {"temperature": 26.982822543492148}
INFO:root:send message: {"temperature": 27.077669658091544}
INFO:root:send message: {"temperature": 27.077669658091544}
INFO:root:send message: {"temperature": 27.166951468834107}
INFO:root:send message: {"temperature": 27.25610034873673}
INFO:root:send message: {"temperature": 27.345116495718884}
INFO:root:send message: {"temperature": 27.434000107405346}
INFO:root:send message: {"temperature": 27.522751381126664}
INFO:root:send message: {"temperature": 27.611370513919574}
INFO:root:send message: {"temperature": 27.69985770252746}
INFO:root:send message: {"temperature": 27.788213143400746}
INFO:root:send message: {"temperature": 27.876437032697403}
INFO:root:send message: {"temperature": 27.964529566283307}
INFO:root:send message: {"temperature": 28.052490939732735}
INFO:root:send message: {"temperature": 28.052490939732735}
INFO:root:send message: {"temperature": 28.11067637698905}
INFO:root:send message: {"temperature": 28.168782735836203}
INFO:root:send message: {"temperature": 28.226810123747732}
INFO:root:send message: {"temperature": 28.284758648051106}
INFO:root:send message: {"temperature": 28.34262841592794}
INFO:root:send message: {"temperature": 28.400419534414173}
INFO:root:send message: {"temperature": 28.458132110400264}
INFO:root:send message: {"temperature": 28.515766250631422}
INFO:root:send message: {"temperature": 28.573322061707763}
INFO:root:send message: {"temperature": 28.63079965008453}
INFO:root:send message: {"temperature": 28.68819912207229}
INFO:root:send message: {"temperature": 28.745520583837123}
INFO:root:send message: {"temperature": 28.80276414140082}
INFO:root:send message: {"temperature": 28.859929900641088}
INFO:root:send message: {"temperature": 28.91701796729172}
INFO:root:send message: {"temperature": 28.974028446942825}
INFO:root:send message: {"temperature": 29.030961445041005}
INFO:root:send message: {"temperature": 29.087817066889542}
INFO:root:send message: {"temperature": 29.14459541764862}
INFO:root:send message: {"temperature": 29.20129660233549}
INFO:root:send message: {"temperature": 29.257920725824675}
INFO:root:send message: {"temperature": 29.31446789284817}
INFO:root:send message: {"temperature": 29.370938207995643}
INFO:root:send message: {"temperature": 29.427331775714592}
INFO:root:send message: {"temperature": 29.483648700310578}
INFO:root:send message: {"temperature": 29.539889085947408}
INFO:root:send message: {"temperature": 29.596053036647305}
INFO:root:send message: {"temperature": 29.65214065629113}
INFO:root:send message: {"temperature": 29.708152048618572}
INFO:root:send message: {"temperature": 29.76408731722831}
INFO:root:send message: {"temperature": 29.819946565578228}
INFO:root:send message: {"temperature": 29.875729896985614}
INFO:root:send message: {"temperature": 29.93143741462733}
INFO:root:send message: {"temperature": 29.987069221540022}
INFO:root:send message: {"temperature": 30.04262542062029}
INFO:root:send message: {"temperature": 30.098106114624898}
INFO:root:send message: {"temperature": 30.153511406170953}
INFO:root:send message: {"temperature": 30.2088413977361}
INFO:root:send message: {"temperature": 30.26409619165871}
INFO:root:send message: {"temperature": 30.31927589013806}
INFO:root:send message: {"temperature": 30.37438059523453}
INFO:root:send message: {"temperature": 30.429410408869813}
INFO:root:send message: {"temperature": 30.484365432827055}
INFO:root:send message: {"temperature": 30.539245768751094}
INFO:root:send message: {"temperature": 30.59405151814861}
INFO:root:send message: {"temperature": 30.648782782388334}
INFO:root:send message: {"temperature": 30.703439662701225}
INFO:root:send message: {"temperature": 30.75802226018067}
INFO:root:send message: {"temperature": 30.81253067578265}
INFO:root:send message: {"temperature": 30.86696501032595}
INFO:root:send message: {"temperature": 30.921325364492333}
INFO:root:send message: {"temperature": 30.975611838826715}
INFO:root:send message: {"temperature": 31.02982453373739}
INFO:root:send message: {"temperature": 31.08396354949617}
INFO:root:send message: {"temperature": 31.138028986238577}
INFO:root:send message: {"temperature": 31.19202094396408}
INFO:root:send message: {"temperature": 31.245939522536215}
INFO:root:send message: {"temperature": 31.299784821682785}
INFO:root:send message: {"temperature": 31.35355694099609}
INFO:root:send message: {"temperature": 31.407255979933048}
INFO:root:send message: {"temperature": 31.460882037815413}
INFO:root:send message: {"temperature": 31.514435213829962}
INFO:root:send message: {"temperature": 31.56791560702867}
INFO:root:send message: {"temperature": 31.621323316328876}
INFO:root:send message: {"temperature": 31.674658440513504}
INFO:root:send message: {"temperature": 31.727921078231212}
INFO:root:send message: {"temperature": 31.781111327996587}
INFO:root:send message: {"temperature": 31.83422928819033}
